,source,target,coef_mean,coef_abs,p,-logp
43570,TEAD1,PAUPAR,0.020492777,0.020492777,4.961589066472093e-09,8.304379208131916
43571,ONECUT3,PAUPAR,-0.011470237,0.011470237,2.1964705871478565e-07,6.658274607980227
43572,SP2,PAUPAR,0.0037959872,0.0037959872,1.6822822426230606e-08,7.774101139257112
43573,LHX2,PAUPAR,-0.015155723,0.015155723,9.301989900911501e-08,7.03142413633394
43574,AHR,PAUPAR,0.0065310425,0.0065310425,1.938085642046297e-06,5.712627035826877
43575,GATA3,PAUPAR,-0.0066391905,0.0066391905,9.835576118024314e-08,7.007200196237692
43577,EBF1,PAUPAR,0.008620998,0.008620998,1.411052754144413e-06,5.850456749246691
43578,SOX8,PAUPAR,-0.009511154,0.009511154,2.4774957277071533e-10,9.605987085756837
43579,MAZ,PAUPAR,-0.00678893,0.00678893,8.911943385816263e-08,7.0500275810690995
43580,MECOM,PAUPAR,0.014773736,0.014773736,1.7181695324852404e-11,10.764933986377699
43582,TEAD3,PAUPAR,-0.005653125,0.005653125,0.0004592644483924323,3.3379371719662987
43585,FOSB,PAUPAR,0.0040846807,0.0040846807,0.0005505719694840098,3.2591859030195147
43586,HES5,PAUPAR,-0.0060043833,0.0060043833,0.00047594007486843177,3.3224477254145888
43588,MEOX2,PAUPAR,-0.0020633556,0.0020633556,3.13322480588871e-07,6.504008443785903
43589,NRF1,PAUPAR,-0.016543495,0.016543495,3.2048548850656887e-12,11.494191630432844
43592,LMX1B,PAUPAR,0.009777021,0.009777021,1.471227475451121e-06,5.832320173162727
43593,HOXB9,PAX2,0.016046442,0.016046442,1.0288707170666314e-07,6.987639193159812
43594,FEV,PAX2,0.0006570845,0.0006570845,0.0005651930641657976,3.247803176287392
43596,SP1,PAX2,0.008011289,0.008011289,2.1797444652221716e-06,5.66159441641774
43597,LHX9,PAX2,0.0019283409,0.0019283409,0.0007585775165156963,3.1200000334996534
43598,THRB,PAX2,0.0033772553,0.0033772553,0.00023036977252916853,3.6375745065205387
43602,IRF1,PAX2,-0.0098775765,0.0098775765,6.180737819268225e-12,11.208959678356084
43604,ZBTB7C,PAX2,-0.012710275,0.012710275,1.0377907412358086e-09,8.983890208229774
43605,KLF16,PAX2,0.0038598096,0.0038598096,2.8191347665235796e-07,6.549884162525502
43606,PHOX2A,PAX2,-0.002458944,0.002458944,0.00024978968198088316,3.6024255049183065
43608,E2F7,PAX2,-0.010434128,0.010434128,4.186947075521153e-09,8.378102528708576
43609,AR,PAX2,0.013744526,0.013744526,2.309221806793931e-11,10.63653434995846
43610,SP4,PAX2,0.003760622,0.003760622,0.00030092806534999316,3.5215373069151363
43611,YY1,PAX2,-0.002394837,0.002394837,0.00018089122216329405,3.742582506985054
43612,HEYL,PAX2,-0.0026942487,0.0026942487,0.0004076935821382482,3.3896661251038465
43613,FOSL2,PAX2,-0.0030848952,0.0030848952,8.791608167357241e-07,6.055931676197247
43614,JUNB,PAX2,-0.012692953,0.012692953,1.0335823422489663e-05,4.985654918785274
43617,HNF4G,PAX2,0.005124727,0.005124727,1.302910795021002e-05,4.8850853176384
43618,TFAP2D,PAX2,-0.0034984855,0.0034984855,1.7356538505027294e-07,6.760536883886582
